country,suicide_rate
India,12.7
China,8.1
United States,16.1
Indonesia,2.4
Pakistan,8.9
Nigeria,3.5
Brazil,6.9
Bangladesh,3.7
Russia,25.1
Ethiopia,5.4
Mexico,5.3
Japan,15.3
Philippines,2.2
Egypt,3
DR Congo,6.7
Vietnam,7.5
Iran,5.2
Turkey,2.4
Germany,12.3
Thailand,8.8
Tanzania,4.3
United Kingdom,7.9
France,13.8
South Africa,23.5
Italy,6.7
Kenya,6.1
Myanmar,2.9
Colombia,3.9
South Korea,28.6
Uganda,4.6
Sudan,3.8
Spain,7.7
Iraq,3.6
Algeria,2.5
Argentina,8.4
Afghanistan,4.1
Poland,11.3
Canada,11.8
Morocco,7.2
Ukraine,21.6
Angola,6.1
Saudi Arabia,6
Uzbekistan,8
Yemen,5.8
Mozambique,13.6
Ghana,6.6
Peru,2.8
Malaysia,5.7
Nepal,9
Madagascar,5.5
Ivory Coast,8.9
Venezuela,2.1
Cameroon,9
Niger,5.3
Australia,12.5
North Korea,9.4
Syria,2
Mali,4.1
Burkina Faso,7.5
Sri Lanka,14
Malawi,5.4
Zambia,7.3
Kazakhstan,17.6
Chile,9
Romania,9.7
Chad,6.4
Somalia,7.9
Ecuador,7.6
Guatemala,5.9
Senegal,6
Netherlands,11.8
Cambodia,4.9
Zimbabwe,14.1
Guinea,7
Rwanda,5.6
Benin,7.8
Burundi,6.2
Bolivia,6.2
Tunisia,3.3
Haiti,9.6
Belgium,18.3
Dominican Republic,4.9
Jordan,1.6
South Sudan,3.9
Cuba,14.5
Honduras,2.1
Sweden,14.7
Papua New Guinea,3
Czech Republic,12.2
Azerbaijan,4.1
Tajikistan,4.3
Greece,5.1
Portugal,11.5
Hungary,16.6
United Arab Emirates,6.4
Belarus,21.2
Israel,5.3
Togo,8.8
Sierra Leone,6.7
Austria,14.6
Switzerland,14.5
Laos,5.4
Nicaragua,4.4
Serbia,11.4
Libya,4.5
Paraguay,6
Kyrgyzstan,7.4
Bulgaria,9.7
Turkmenistan,5.7
El Salvador,6.1
Republic of the Congo,6.5
Singapore,11.2
Denmark,10.7
Central African Republic,12.3
Slovakia,12.1
Finland,15.3
Liberia,4.5
Norway,11.8
New Zealand,11
Costa Rica,8.1
Lebanon,2.8
Ireland,9.6
Mauritania,3.1
Oman,4.9
Panama,2.9
Kuwait,2.9
Croatia,16.4
Eritrea,10.9
Georgia,9.2
Mongolia,17.9
Uruguay,21.2
Moldova,14.7
Bosnia and Herzegovina,10.9
Gambia,4.8
Albania,4.3
Jamaica,2.4
Armenia,3.3
Qatar,5.8
Botswana,16.1
Lithuania,26.1
Namibia,9.7
Gabon,8.4
Lesotho,72.4
Guinea-Bissau,7
Slovenia,19.8
North Macedonia,9.4
Latvia,20.1
Equatorial Guinea,7.9
Trinidad and Tobago,8.7
Bahrain,8.9
Timor-Leste,3.7
Estonia,14.9
Mauritius,9.5
Cyprus,3.6
Eswatini,29.4
Djibouti,9.6
Fiji,9
Comoros,5.4
Guyana,40.3
Bhutan,4.6
Solomon Islands,14.7
Luxembourg,11.3
Suriname,25.4
Montenegro,21
Cape Verde,12.9
Malta,6.1
Maldives,2.7
Brunei,2.7
Belize,7.1
Bahamas,3.5
Iceland,11.9
Vanuatu,18
Barbados,0.6
Sao Tome and Principe,1.5
Samoa,12.6
Saint Lucia,7.9
Kiribati,28.3
Grenada,0.7
Micronesia,28.2
Tonga,3.8
Seychelles,8.1
Saint Vincent and the Grenadines,1
Antigua and Barbuda,0.4
