country,InstagramUsers2023
India,229600000
United States,143400000
Indonesia,89150000
Pakistan,12950000
Nigeria,7100000
Brazil,113500000
Bangladesh,4450000
Ethiopia,612300
Mexico,36700000
Japan,45700000
Philippines,17550000
Egypt,15350000
DR Congo,503700
Vietnam,10350000
Turkey,48650000
Germany,27450000
Thailand,17350000
Tanzania,2450000
United Kingdom,28750000
France,23750000
South Africa,5650000
Italy,26200000
Kenya,2200000
Myanmar,1400000
Colombia,17750000
South Korea,19250000
Uganda,447500
Spain,21900000
Iraq,14000000
Algeria,8400000
Argentina,23400000
Afghanistan,552700
Poland,10400000
Canada,15900000
Morocco,8700000
Ukraine,11000000
Angola,506800
Saudi Arabia,12450000
Uzbekistan,4200000
Yemen,619200
Mozambique,394000
Ghana,1700000
Peru,8500000
Malaysia,13900000
Nepal,2150000
Madagascar,140500
Ivory Coast,919600
Venezuela,6100000
Cameroon,467900
Niger,79300
Australia,11650000
Mali,183200
Taiwan,10100000
Burkina Faso,133600
Sri Lanka,1400000
Malawi,95600
Zambia,349800
Kazakhstan,10450000
Chile,10950000
Romania,4900000
Chad,61400
Somalia,449600
Ecuador,5750000
Guatemala,2850000
Senegal,931500
Netherlands,7650000
Cambodia,1750000
Zimbabwe,381700
Guinea,139100
Rwanda,264700
Benin,135500
Burundi,63900
Bolivia,1750000
Tunisia,2750000
Haiti,482200
Belgium,4600000
Dominican Republic,3900000
Jordan,2850000
South Sudan,34400
Honduras,1500000
Sweden,5700000
Papua New Guinea,59000
Czech Republic,3350000
Azerbaijan,3250000
Tajikistan,802800
Greece,4050000
Portugal,5300000
Hungary,2500000
United Arab Emirates,4950000
Belarus,3400000
Israel,3900000
Togo,123400
Sierra Leone,85600
Austria,2900000
Switzerland,3500000
Laos,488900
Hong Kong,3300000
Nicaragua,912400
Serbia,2750000
Libya,1600000
Paraguay,2150000
Kyrgyzstan,2300000
Bulgaria,1650000
Turkmenistan,163600
El Salvador,1500000
Republic of the Congo,104700
Singapore,2700000
Denmark,2600000
Central African Republic,7900
Slovakia,1450000
Finland,2300000
Liberia,82500
Norway,2750000
Palestine,1650000
New Zealand,2150000
Costa Rica,2050000
Lebanon,1950000
Ireland,2300000
Mauritania,93700
Oman,1750000
Panama,2200000
Kuwait,2050000
Croatia,1350000
Eritrea,2750
Georgia,1300000
Mongolia,774600
Uruguay,1850000
Moldova,876900
Puerto Rico,1200000
Bosnia and Herzegovina,1200000
Gambia,118200
Albania,1030000
Jamaica,914900
Armenia,1010000
Qatar,1100000
Botswana,165000
Lithuania,814200
Namibia,317400
Gabon,104600
Lesotho,33100
Guinea-Bissau,29700
Slovenia,621000
North Macedonia,711500
Latvia,612800
Equatorial Guinea,32800
Trinidad and Tobago,631000
Bahrain,879800
Timor-Leste,66100
Estonia,476500
Mauritius,326700
Cyprus,722900
Eswatini,53300
Djibouti,16800
Reunion,227500
Fiji,161800
Comoros,21000
Guyana,134200
Bhutan,132400
Solomon Islands,6000
Macau,194200
Luxembourg,241400
Suriname,118100
Montenegro,350900
Cape Verde,101300
Western Sahara,155600
Malta,219700
Maldives,198600
Brunei,319900
Belize,98800
Bahamas,128000
Guadeloupe,141600
Iceland,199100
Martinique,128000
Mayotte,40400
Vanuatu,5350
French Guiana,76300
French Polynesia,55300
New Caledonia,61300
Barbados,148300
Sao Tome and Principe,7250
Samoa,18300
Curacao,53100
Saint Lucia,56700
Guam,82300
Kiribati,1100
Grenada,41100
Micronesia,5650
Jersey,41500
Tonga,9600
Seychelles,25300
Aruba,51400
Saint Vincent and the Grenadines,47200
United States Virgin Islands,14500
Antigua and Barbuda,37100
Isle of Man,31700
Andorra,37500
Dominica,18300
Cayman Islands,38600
Bermuda,29000
Guernsey,23300
Greenland,18200
Faroe Islands,24100
Northern Mariana Islands,16000
Saint Kitts and Nevis,21800
Turks and Caicos Islands,17200
Sint Maarten,15000
American Samoa,11000
Marshall Islands,2850
Liechtenstein,9150
Monaco,9550
San Marino,8500
Gibraltar,16800
Saint Martin,8050
British Virgin Islands,10600
Palau,4800
Cook Islands,3800
Anguilla,5850
Nauru,1600
Tuvalu,700
Wallis and Futuna,1050
Saint Barthelemy,1750
Saint Pierre and Miquelon,1650
Montserrat,1300
Falkland Islands,1100
Niue,450
Tokelau,100
