country,YouTubeUsersJuly2023,YouTubeUsersPenetrationJuly2023
India,467000000,36.2
United States,246000000,78.3
Indonesia,139000000,55
Pakistan,71700000,38.9
Nigeria,31600000,25.2
Brazil,142000000,72.9
Bangladesh,34400000,23.2
Mexico,81800000,71.1
Japan,78400000,70.8
Philippines,57700000,61.4
Egypt,45900000,50.6
Vietnam,63000000,68.1
Turkey,57900000,73.9
Germany,70900000,89.9
Thailand,43900000,63.3
United Kingdom,57100000,91.9
France,52100000,88.8
South Africa,25800000,56
Italy,43900000,78.3
Kenya,9440000,25.4
Colombia,30700000,64.2
South Korea,46000000,91.6
Spain,40700000,90.1
Iraq,24300000,72
Algeria,22700000,65.1
Argentina,31800000,77.6
Poland,27500000,71.4
Canada,33100000,90.6
Morocco,21300000,68.3
Ukraine,26700000,76.1
Saudi Arabia,29100000,90.8
Ghana,6920000,32.7
Peru,17600000,57.3
Malaysia,23900000,79.6
Australia,21300000,87
Taiwan,20200000,87.4
Sri Lanka,70400000,36.9
Chile,15400000,85.3
Romania,13500000,72.9
Ecuador,11700000,74
Guatemala,7640000,53.4
Senegal,3710000,34.7
Netherlands,15500000,92.6
Bolivia,5880000,58.1
Tunisia,7240000,71.3
Belgium,9440000,87.6
Dominican Republic,7390000,77.4
Jordan,6610000,74
Honduras,4390000,51.4
Sweden,8700000,90
Czech Republic,8070000,83.5
Greece,7490000,76.2
Portugal,7430000,75.5
Hungary,7400000,77.9
United Arab Emirates,8990000,98.5
Israel,7060000,91
Austria,7340000,86.8
Switzerland,7290000,88.4
Hong Kong,6730000,91.3
Nicaragua,2970000,53.6
Serbia,5010000,72.2
Paraguay,4470000,83.4
Bulgaria,4420000,69.2
El Salvador,3510000,62
Singapore,5080000,85.8
Denmark,4940000,90
Slovakia,4160000,76.8
Finland,4620000,88.6
Norway,4620000,91.9
New Zealand,4240000,88.6
Costa Rica,3830000,80.9
Lebanon,4910000,112.3
Ireland,4020000,88.5
Oman,4170000,107.6
Panama,2480000,63.5
Kuwait,3590000,91.4
Croatia,2940000,76.5
Uruguay,2450000,78
Puerto Rico,2220000,72.7
Bosnia and Herzegovina,2200000,74.1
Qatar,2620000,102.5
Lithuania,2120000,82.4
Slovenia,1640000,83
Latvia,1480000,86.6
Bahrain,1460000,109.5
Estonia,1070000,87.3
Iceland,290000,88.4
